=== phase0 v3 start Mon Apr 13 20:17:57 UTC 2026
R07_orig=0x9d
waiting for VBUSOK drop (unplug Mac)...
cable out Mon Apr 13 20:18:13 UTC 2026: WD off, SOURCE, boost on
t=1 S=0x00 T=0x00 R0B=0x02 R0C=0x80 R03=0x3a
t=2 S=0x00 T=0x00 R0B=0x02 R0C=0x00 R03=0x3a
t=3 S=0x00 T=0x00 R0B=0x02 R0C=0x00 R03=0x3a
t=4 S=0x00 T=0x00 R0B=0x02 R0C=0x00 R03=0x3a
t=5 S=0x00 T=0x00 R0B=0x02 R0C=0x00 R03=0x3a
t=6 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=7 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=8 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=9 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=10 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=11 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=12 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=13 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=14 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=15 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=16 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=17 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=18 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=19 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=20 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=21 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=22 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=23 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=24 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=25 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=26 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=27 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=28 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=29 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=30 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=31 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=32 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=33 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=34 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=35 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=36 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=37 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=38 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=39 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=40 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=41 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=42 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=43 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=44 S=0x21 T=0x10 R0B=0x02 R0C=0x00 R03=0x3a
t=45 S=0x00 T=0x00 R0B=0x02 R0C=0x00 R03=0x3a
t=46 S=0x00 T=0x00 R0B=0x02 R0C=0x00 R03=0x3a
t=47 S=0x08 T=0x00 R0B=0x36 R0C=0x00 R03=0x3a
