=== phase0 v5 start Mon Apr 13 20:25:48 UTC 2026
waiting for VBUSOK drop (unplug Mac)...
cable out Mon Apr 13 20:26:02 UTC 2026: GPIO107 HIGH, WD off, SOURCE, OTG on
DOUT=0x200008C0 DIN=0x2FFF2B47
t=1 S=0x08 T=0x00 R0B=0xe2 R0C=0x80 R11=0x18
t=2 S=0x19 T=0x10 R0B=0xe2 R0C=0x40 R11=0x18
t=3 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=4 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=5 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=6 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=7 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=8 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=9 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=10 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=11 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=12 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=13 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=14 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=15 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=16 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=17 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=18 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=19 S=0x19 T=0x10 R0B=0xe2 R0C=0x00 R11=0x18
t=20 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=21 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=22 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=23 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=24 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=25 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=26 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=27 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=28 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=29 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=30 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=31 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=32 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=33 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=34 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=35 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=36 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=37 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=38 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=39 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=40 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=41 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=42 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=43 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=44 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=45 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=46 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=47 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=48 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=49 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=50 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
