Pinmux settings per pin
Format: pin (name): mux_owner gpio_owner hog?
pin 0 (GPIO0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 1 (GPIO1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 2 (GPIO2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 3 (GPIO3): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 4 (GPIO4): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 5 (GPIO5): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 6 (GPIO6): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 7 (GPIO7): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 8 (GPIO8): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 9 (GPIO9): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 10 (GPIO10): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 11 (GPIO11): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 12 (GPIO12): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 13 (GPIO13): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 14 (GPIO14): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 15 (GPIO15): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 16 (GPIO16): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 17 (GPIO17): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 18 (GPIO18): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 19 (GPIO19): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 20 (GPIO20): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 21 (GPIO21): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 22 (GPIO22): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 23 (GPIO23): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 24 (GPIO24): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 25 (GPIO25): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 26 (GPIO26): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 27 (GPIO27): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 28 (GPIO28): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 29 (GPIO29): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 30 (GPIO30): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 31 (GPIO31): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 32 (GPIO32): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 33 (GPIO33): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 34 (GPIO34): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 35 (GPIO35): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 36 (GPIO36): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 37 (GPIO37): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 38 (GPIO38): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 39 (GPIO39): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 40 (GPIO40): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 41 (GPIO41): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 42 (GPIO42): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 43 (GPIO43): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 44 (GPIO44): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 45 (GPIO45): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 46 (GPIO46): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 47 (GPIO47): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 48 (GPIO48): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 49 (GPIO49): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 50 (GPIO50): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 51 (GPIO51): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 52 (GPIO52): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 53 (GPIO53): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 54 (GPIO54): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 55 (GPIO55): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 56 (GPIO56): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 57 (GPIO57): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 58 (GPIO58): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 59 (GPIO59): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 60 (GPIO60): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 61 (GPIO61): soc:ext_buck_vproc@ (GPIO UNCLAIMED) function func0 group GPIO61
pin 62 (GPIO62): soc:sii9022_hdmi (GPIO UNCLAIMED) function func1 group GPIO62
pin 63 (GPIO63): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 64 (GPIO64): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 65 (GPIO65): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 66 (GPIO66): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 67 (GPIO67): 11240000.msdc1 10005000.pinctrl:829 function func1 group GPIO67
pin 68 (GPIO68): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 69 (GPIO69): 18070000.consys (GPIO UNCLAIMED) function func0 group GPIO69
pin 70 (GPIO70): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 71 (GPIO71): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 72 (GPIO72): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 73 (GPIO73): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 74 (GPIO74): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 75 (GPIO75): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 76 (GPIO76): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 77 (GPIO77): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 78 (GPIO78): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 79 (GPIO79): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 80 (GPIO80): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 81 (GPIO81): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 82 (GPIO82): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 83 (GPIO83): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 84 (GPIO84): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 85 (GPIO85): soc:touch@ (GPIO UNCLAIMED) function func1 group GPIO85
pin 86 (GPIO86): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 87 (GPIO87): soc:aw9523_key@ (GPIO UNCLAIMED) function func1 group GPIO87
pin 88 (GPIO88): als_ps@0 (GPIO UNCLAIMED) function func1 group GPIO88
pin 89 (GPIO89): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 90 (GPIO90): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 91 (GPIO91): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 92 (GPIO92): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 93 (GPIO93): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 94 (GPIO94): aeon_gpio (GPIO UNCLAIMED) function func0 group GPIO94
pin 95 (GPIO95): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 96 (GPIO96): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 97 (GPIO97): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 98 (GPIO98): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 99 (GPIO99): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 100 (GPIO100): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 101 (GPIO101): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 102 (GPIO102): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 103 (GPIO103): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 104 (GPIO104): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 105 (GPIO105): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 106 (GPIO106): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 107 (GPIO107): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 108 (GPIO108): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 109 (GPIO109): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 110 (GPIO110): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 111 (GPIO111): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 112 (GPIO112): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 113 (GPIO113): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 114 (GPIO114): (MUX UNCLAIMED) (GPIO UNCLAIMED)
