0x11290800: 0x00013C6F
0x11290804: 0x00A45500
0x11290808: 0x00000044
0x1129080C: 0x00000000
0x11290810: 0x00004414
0x11290814: 0x00805000
0x11290818: 0x00000482
0x1129081C: 0xC0040000
0x11290820: 0x0006001A
0x11290824: 0x00000000
0x11290828: 0x00000000
0x1129082C: 0x00000000
0x11290830: 0x00000000
0x11290834: 0x00000000
0x11290838: 0x00000000
0x1129083C: 0x00000000
0x11290840: 0x00000000
0x11290844: 0x00000000
0x11290848: 0x00000000
0x1129084C: 0x00000000
0x11290850: 0x00000000
0x11290854: 0x00000000
0x11290858: 0x00000000
0x1129085C: 0x00000000
0x11290860: 0x00800402
0x11290864: 0x00000001
0x11290868: 0x56BE00D4
0x1129086C: 0x00053E1A
0x11290870: 0x00091000
0x11290874: 0x2A600000
0x11290878: 0x010000C0
0x1129087C: 0x00000000
